,timestamp,source_ip,destination_ip,protocol,source_port,destination_port,packet_length,flags,threat,is_danger
0,2024-04-13 15:54:31,149.205.104.0,62.117.107.145,UDP,11097,1712,1093,UFU,Normal,False
1,2024-04-13 06:04:03,56.118.104.147,224.78.138.155,UDP,1088,17958,144,UFF,Normal,False
2,2024-04-13 15:41:11,149.90.185.106,71.132.77.206,UDP,55739,40833,1008,FUA,Normal,False
3,2024-04-13 03:29:54,69.73.107.169,91.136.72.120,TCP,47196,40834,458,RRP,Normal,False
4,2024-04-13 23:52:01,1.166.73.158,138.165.90.91,TCP,32158,49472,1059,SAA,Normal,False
5,2024-04-13 20:41:33,160.136.90.215,101.29.37.154,UDP,3241,38744,196,PRA,Normal,False
6,2024-04-13 17:22:23,243.197.33.57,70.51.97.246,UDP,24534,40636,1285,RFU,Normal,False
7,2024-04-13 03:51:10,153.209.244.79,121.166.39.162,TCP,29669,54522,290,RRR,Normal,False
8,2024-04-13 12:59:43,133.191.39.184,109.179.112.205,TCP,30517,63834,222,UUU,Normal,False
9,2024-04-13 05:33:21,107.197.29.31,162.192.58.54,TCP,7829,58384,226,RRF,Normal,False
10,2024-04-13 02:43:06,240.109.85.184,34.185.173.74,UDP,32232,46898,447,RSU,Normal,False
11,2024-04-13 23:30:33,247.243.82.11,1.144.32.90,TCP,14316,17904,1239,PSR,Normal,False
12,2024-04-13 12:47:48,138.127.108.100,8.234.136.233,UDP,21466,7764,1174,FFU,Normal,False
13,2024-04-13 20:35:58,99.18.7.248,134.162.249.60,TCP,39684,6071,377,FPS,Normal,False
14,2024-04-13 00:34:17,69.45.61.113,212.255.104.138,UDP,56562,62982,1273,FUR,Normal,False
15,2024-04-13 15:37:29,72.42.62.8,60.237.113.158,TCP,34417,36032,866,SFR,Normal,False
16,2024-04-13 02:29:12,253.70.89.79,35.201.151.52,TCP,9964,36844,510,SRF,Normal,False
17,2024-04-13 12:45:52,230.215.166.87,161.57.193.75,TCP,62975,5067,1371,SFU,DNS_Amplification,True
18,2024-04-13 03:53:27,152.248.61.73,219.140.109.106,UDP,8502,45321,950,SFF,Normal,False
19,2024-04-13 12:59:26,203.49.27.167,155.49.209.16,UDP,7224,5602,618,AUU,Normal,False
20,2024-04-13 21:26:17,83.213.64.164,221.230.215.198,UDP,14963,3681,1121,RAA,Normal,False
21,2024-04-13 04:36:41,87.110.162.123,211.237.1.151,UDP,23674,39442,465,SAS,Normal,False
22,2024-04-13 15:20:48,109.57.24.7,75.91.242.45,UDP,37854,43080,1002,FAF,Normal,False
23,2024-04-13 07:04:41,87.163.40.142,171.196.34.156,UDP,30732,39000,315,URP,Normal,False
24,2024-04-13 16:33:29,88.232.144.253,48.178.52.166,TCP,8477,6724,1094,FRU,Normal,False
25,2024-04-13 20:20:39,34.227.86.137,102.15.93.17,UDP,27605,62939,450,FAR,Normal,False
26,2024-04-13 04:56:46,120.47.109.236,192.31.23.101,TCP,30149,5651,639,AAA,Normal,False
27,2024-04-13 18:40:45,242.123.98.56,115.116.30.164,TCP,2369,19748,403,SRP,Normal,False
28,2024-04-13 18:57:26,171.162.234.175,173.178.80.77,UDP,44685,11187,62,PSS,Normal,False
29,2024-04-13 02:41:24,195.147.95.197,82.195.196.196,UDP,23713,2427,1066,FAP,Normal,False
30,2024-04-13 13:58:02,45.18.29.73,111.216.89.110,TCP,64511,39034,874,SFF,Normal,False
31,2024-04-13 16:07:47,31.101.47.178,102.1.44.57,UDP,48414,19790,737,AAA,Normal,False
32,2024-04-13 04:02:02,178.247.76.107,60.194.112.58,UDP,44663,53300,585,APF,Normal,False
33,2024-04-13 14:55:04,246.237.85.218,79.64.55.205,TCP,3538,12611,1391,RAP,Normal,False
34,2024-04-13 18:48:27,193.7.12.136,77.66.217.39,TCP,11647,20913,1106,UFP,Normal,False
35,2024-04-13 20:42:39,28.6.189.225,136.199.161.55,TCP,42563,23502,332,SFF,Normal,False
36,2024-04-13 14:47:36,149.4.213.73,31.49.8.10,UDP,2416,40570,306,SRF,Normal,False
37,2024-04-13 09:20:08,172.168.163.4,186.59.119.14,TCP,41026,38621,1205,SRS,Normal,False
38,2024-04-13 04:17:26,246.119.184.83,0.153.39.171,UDP,14491,50874,1333,RFP,Normal,False
39,2024-04-13 15:38:28,216.160.49.85,70.212.119.95,TCP,32313,47082,1217,PFA,Normal,False
40,2024-04-13 01:03:37,156.8.180.185,190.14.252.150,TCP,5109,21902,84,AUA,Normal,False
41,2024-04-13 15:36:49,172.15.135.245,126.195.213.79,TCP,43810,20550,335,SUS,Normal,False
42,2024-04-13 16:19:59,223.162.148.205,132.77.182.71,TCP,35139,4370,1081,SUP,Normal,False
43,2024-04-13 20:13:25,168.217.75.129,189.101.63.81,TCP,38072,63909,284,APA,Normal,False
44,2024-04-13 03:33:18,126.163.152.21,153.158.237.123,TCP,26047,49506,172,RPR,Normal,False
45,2024-04-13 13:05:41,201.227.226.240,139.62.243.122,TCP,16684,33445,1253,PFU,Normal,False
46,2024-04-13 09:56:36,18.9.202.94,33.44.213.199,TCP,21822,53552,1006,AAF,Normal,False
47,2024-04-13 21:39:27,125.84.122.201,6.20.27.56,TCP,39512,30842,957,RFF,Normal,False
48,2024-04-13 20:15:45,191.185.28.235,30.250.97.202,UDP,59804,33197,1207,SUA,Normal,False
49,2024-04-13 16:52:54,88.1.99.59,109.1.198.54,UDP,25509,1070,905,FSR,Normal,False
50,2024-04-13 03:32:18,75.212.9.197,100.28.149.159,TCP,54477,33349,1356,RFS,Normal,False
51,2024-04-13 03:55:53,172.38.223.236,88.6.5.158,TCP,58828,55515,1405,SRS,Normal,False
52,2024-04-13 17:30:24,32.103.9.75,5.141.130.60,UDP,59935,25240,652,SUS,Normal,False
53,2024-04-13 22:25:21,70.132.192.23,125.33.210.162,UDP,5749,45788,909,SAA,Normal,False
54,2024-04-13 08:33:23,122.70.138.114,242.45.146.38,UDP,25245,41549,912,RAS,Normal,False
55,2024-04-13 23:09:01,254.64.115.199,120.163.128.175,TCP,49897,21246,1026,AAF,Normal,False
56,2024-04-13 19:33:55,135.191.22.99,123.112.195.182,UDP,21289,4029,584,PFA,Normal,False
57,2024-04-13 04:23:53,72.37.219.9,2.7.47.52,TCP,19061,33941,940,APU,Normal,False
58,2024-04-13 17:46:40,59.250.64.52,19.79.97.139,UDP,41062,48080,619,FUF,Normal,False
